passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,trep_driving_time
Joshua Gonzalez,2017-11-14 18:38:51,2017-11-14 18:47:17,Cash,5,1.7,8.0,1.96,0.0,8.433333333333334
Katelyn Schneider,2017-02-02 20:46:28,2017-02-02 21:03:56,Cash,1,9.0,26.5,6.05,2.54,17.466666666666665
Isaac Wilkins,2017-01-09 06:01:22,2017-01-09 06:10:18,Cash,1,2.02,9.0,0.0,0.0,8.933333333333334
James Hogan,2017-06-08 08:37:20,2017-06-08 08:45:57,Card,1,1.0,7.0,1.55,0.0,8.616666666666667
Austin Harding,2017-07-09 14:56:26,2017-07-09 15:04:43,Card,1,1.62,8.0,2.2,0.0,8.283333333333333
Claudia Cooper,2017-12-09 08:16:15,2017-12-09 08:24:34,Card,6,2.1,9.0,2.94,0.0,8.316666666666666
Jerry Perez,2017-05-26 10:29:11,2017-05-26 10:38:39,Cash,2,0.76,7.5,0.0,0.0,9.466666666666667
Mr. David Moore,2017-05-04 11:15:41,2017-05-04 11:35:46,Cash,5,1.02,12.5,2.66,0.0,20.083333333333332
Isaiah Brown,2017-02-21 12:18:09,2017-02-21 12:21:09,Cash,1,0.49,4.0,0.96,0.0,3.0
Adrian Jackson,2017-12-17 08:25:30,2017-12-17 08:39:24,Cash,1,3.88,14.5,3.82,0.0,13.9
Alexis Schneider,2017-01-23 19:56:23,2017-01-23 20:12:38,Cash,2,3.1,14.0,3.05,0.0,16.25
Joshua Anderson,2017-05-05 12:10:52,2017-05-05 12:48:39,Card,1,3.1,22.5,5.8,0.0,37.78333333333333
Julie Brown,2017-09-01 21:41:29,2017-09-01 21:48:32,Card,2,1.36,7.0,1.66,0.0,7.05
Daniel Allen,2017-01-24 22:24:39,2017-01-24 22:44:09,Card,1,7.08,22.5,2.0,0.0,19.5
Brian Simon,2017-03-02 10:20:00,2017-03-02 11:05:01,Card,1,4.7,29.0,7.45,0.0,45.016666666666666
Dennis Smith,2017-05-09 21:51:19,2017-05-09 22:04:54,Cash,1,3.89,14.0,4.59,0.0,13.583333333333334
George Davis,2017-02-06 23:43:10,2017-02-06 23:49:34,Card,1,1.1,6.5,1.55,0.0,6.4
Sonya Vasquez,2017-01-25 18:14:17,2017-01-25 18:53:48,Card,5,9.43,33.0,6.96,0.0,39.516666666666666
Mark Johnson,2017-10-29 10:33:04,2017-10-29 10:41:37,Cash,1,1.3,7.5,1.0,0.0,8.55
Jose Blair,2017-02-28 12:37:33,2017-02-28 12:41:23,Cash,1,1.6,6.5,1.45,0.0,3.8333333333333335
Franklin Lee,2017-05-20 18:37:38,2017-05-20 18:42:51,Cash,1,0.9,5.5,1.55,0.0,5.216666666666667
Nicolas Bennett,2017-08-17 17:15:06,2017-08-17 17:34:05,Card,1,1.84,12.5,2.86,0.0,18.983333333333334
James Chapman,2017-12-14 22:15:22,2017-12-14 22:20:18,Cash,1,1.32,6.0,0.0,0.0,4.933333333333334
Amy Rivas,2017-02-21 13:44:52,2017-02-21 14:11:15,Cash,1,7.28,24.5,5.06,0.0,26.383333333333333
Monica Mullins,2017-11-27 11:31:16,2017-11-27 11:39:13,Cash,1,0.98,7.0,1.0,0.0,7.95
Barry Macias DVM,2017-02-10 16:24:24,2017-02-10 16:27:59,Card,1,0.4,4.5,1.25,0.0,3.5833333333333335
Reginald Carlson,2017-02-23 13:26:15,2017-02-23 14:10:50,Card,4,10.45,37.0,0.0,0.0,44.583333333333336
Renee Lee,2017-03-24 22:37:16,2017-03-24 23:03:26,Card,2,3.0,17.0,2.5,0.0,26.166666666666668
Tara Chavez,2017-01-02 19:24:27,2017-01-02 19:38:11,Card,2,2.4,10.5,2.26,0.0,13.733333333333333
Cody Sanders,2017-06-06 13:07:28,2017-06-06 13:20:42,Card,1,0.8,9.0,0.0,0.0,13.233333333333333
Steven Riggs,2017-11-25 11:13:52,2017-11-25 11:23:27,Card,1,1.6,8.5,1.85,0.0,9.583333333333334
Mark Rodriguez,2017-01-04 08:08:03,2017-01-04 08:12:09,Card,1,0.7,5.0,0.0,0.0,4.1
Teresa Preston,2017-06-17 21:05:18,2017-06-17 21:09:29,Card,1,0.7,5.0,1.25,0.0,4.183333333333334
Mrs. Debra Smith,2017-08-11 19:37:34,2017-08-11 20:02:36,Cash,2,3.36,17.5,0.0,0.0,25.033333333333335
Deborah Brown,2017-11-30 21:30:39,2017-11-30 21:46:36,Card,5,2.03,11.5,2.56,0.0,15.95
Laura Mckee,2017-11-17 23:07:22,2017-11-17 23:15:13,Cash,1,3.0,11.0,2.0,0.0,7.85
Spencer Tate,2017-09-06 16:14:42,2017-09-06 16:43:39,Cash,2,4.66,22.0,3.0,0.0,28.95
Sharon Edwards,2017-07-03 21:31:30,2017-07-03 22:11:31,Cash,2,17.7,52.0,0.0,5.76,40.016666666666666
Regina Townsend,2017-09-19 10:19:47,2017-09-19 10:24:51,Cash,1,0.94,5.5,0.0,0.0,5.066666666666666
Anna Green,2017-03-25 15:05:39,2017-03-25 15:16:45,Card,1,1.48,9.0,0.0,0.0,11.1
Edward Horton,2017-12-16 13:42:45,2017-12-16 13:47:12,Cash,5,1.02,5.5,1.58,0.0,4.45
Robin Ayala,2017-09-13 21:48:03,2017-09-13 21:57:19,Card,2,1.46,8.0,2.32,0.0,9.266666666666667
Brandy Pittman,2017-12-19 10:28:48,2017-12-19 11:01:19,Cash,1,2.24,19.5,4.06,0.0,32.516666666666666
Nicholas Williamson,2017-05-04 18:05:12,2017-05-04 18:15:08,Cash,1,1.5,8.5,0.0,0.0,9.933333333333334
Scott Johns,2017-12-04 06:49:58,2017-12-04 07:03:56,Card,1,5.61,18.5,2.0,0.0,13.966666666666667
Allison Henry,2017-06-27 08:09:46,2017-06-27 08:21:38,Cash,5,1.82,10.0,1.55,0.0,11.866666666666667
Kelly Coffey,2017-11-06 20:51:07,2017-11-06 21:02:36,Cash,1,2.12,10.0,2.82,0.0,11.483333333333333
Jackie Reyes,2017-01-06 16:03:30,2017-01-06 16:22:37,Card,1,2.71,14.0,3.16,0.0,19.116666666666667
Chelsea Perkins,2017-08-13 18:49:16,2017-08-13 18:54:44,Cash,2,0.79,5.5,0.0,0.0,5.466666666666667
Kenneth Henderson,2017-08-03 23:52:26,2017-08-04 00:23:25,Card,1,5.4,22.5,3.0,0.0,30.983333333333334
Amber Wood,2017-06-27 11:24:53,2017-06-27 11:49:56,Cash,1,5.9,23.5,2.0,0.0,25.05
Donald Hall,2017-08-11 12:33:22,2017-08-11 12:54:04,Card,5,2.02,14.0,1.0,0.0,20.7
Juan Adams,2017-05-28 15:03:05,2017-05-28 15:07:41,Cash,2,0.58,5.0,1.0,0.0,4.6
Alexander Santiago,2017-02-25 02:11:17,2017-02-25 02:24:01,Card,1,1.9,10.0,2.0,0.0,12.733333333333333
Andrew Kane,2017-01-02 19:14:05,2017-01-02 19:32:51,Card,1,4.06,16.0,0.0,0.0,18.766666666666666
Lisa Turner,2017-12-23 10:45:02,2017-12-23 10:53:35,Card,1,1.8,8.5,0.0,0.0,8.55
Sherri Wright,2017-05-04 12:45:29,2017-05-04 12:54:09,Card,1,1.41,7.5,0.0,0.0,8.666666666666666
Jody Miller,2017-08-19 04:56:17,2017-08-19 05:11:45,Card,3,3.99,15.0,3.26,0.0,15.466666666666667
Phillip Walton,2017-03-19 05:07:26,2017-03-19 05:16:18,Card,1,1.96,8.5,1.96,0.0,8.866666666666667
Sarah Dean,2017-11-18 13:37:12,2017-11-18 13:40:18,Card,2,0.9,5.0,1.15,0.0,3.1
Andrew Miller,2017-01-06 22:51:51,2017-01-06 23:01:16,Card,3,1.85,9.0,2.06,0.0,9.416666666666666
Michelle Johnson,2017-09-07 16:42:39,2017-09-07 17:42:38,Card,1,17.57,52.0,0.0,5.76,59.983333333333334
David Harris,2017-10-18 17:42:47,2017-10-18 17:55:45,Cash,1,1.9,10.0,2.0,0.0,12.966666666666667
Jacqueline Leblanc,2017-11-25 14:45:51,2017-11-25 14:57:47,Card,1,0.85,8.5,0.0,0.0,11.933333333333334
Kelly Arroyo,2017-12-31 12:54:07,2017-12-31 13:10:05,Card,1,2.31,12.0,0.0,0.0,15.966666666666667
James Williams,2017-07-19 11:38:49,2017-07-19 11:50:04,Card,1,1.04,8.5,1.0,0.0,11.25
Susan Ellis,2017-07-21 09:15:03,2017-07-21 09:38:35,Card,1,5.6,22.0,4.55,0.0,23.533333333333335
Daniel Spence,2017-05-05 08:12:11,2017-05-05 08:17:54,Card,2,0.77,5.5,0.0,0.0,5.716666666666667
Robert Davis,2017-04-11 20:03:50,2017-04-11 20:12:00,Card,1,1.6,7.5,1.75,0.0,8.166666666666666
Tony Brown,2017-09-05 10:38:24,2017-09-05 10:41:57,Card,1,0.7,4.5,0.0,0.0,3.55
Jesse Richards,2017-07-13 09:16:39,2017-07-13 09:21:40,Card,3,0.56,5.0,0.0,0.0,5.016666666666667
Mark Wright,2017-03-18 16:48:32,2017-03-18 16:51:46,Cash,1,0.59,4.5,1.06,0.0,3.2333333333333334
Leslie Floyd,2017-02-25 01:37:30,2017-02-25 01:57:57,Cash,6,6.77,22.0,4.66,0.0,20.45
Rachel Bray,2017-06-20 18:34:38,2017-06-20 18:39:43,Cash,1,0.92,5.5,0.0,0.0,5.083333333333333
Robert Nelson,2017-01-05 09:23:31,2017-01-05 09:32:17,Cash,2,2.59,10.0,2.16,0.0,8.766666666666667
Michelle Mcclain,2017-10-13 14:20:54,2017-10-13 14:32:35,Card,1,1.2,9.0,1.95,0.0,11.683333333333334
Chelsea Dominguez,2017-04-26 23:56:50,2017-04-27 00:12:24,Cash,1,2.2,11.5,4.0,0.0,15.566666666666666
Stephanie Morales,2017-10-08 00:14:18,2017-10-08 00:38:43,Card,1,3.79,17.5,0.0,0.0,24.416666666666668
Darius Bates,2017-11-23 08:40:45,2017-11-23 08:52:34,Card,1,2.59,10.5,1.88,0.0,11.816666666666666
Jill Marshall,2017-03-23 13:26:18,2017-03-23 13:46:48,Card,1,2.8,14.5,0.0,0.0,20.5
Michael Brown,2017-11-29 10:36:56,2017-11-29 10:54:10,Cash,1,2.0,12.5,2.65,0.0,17.233333333333334
Sierra Ramsey,2017-12-25 03:28:58,2017-12-25 03:39:36,Card,1,3.4,12.0,2.65,0.0,10.633333333333333
Alexis Johnson,2017-02-21 14:36:36,2017-02-21 14:58:17,Card,1,2.79,15.5,4.89,0.0,21.683333333333334
Ashley Rivera,2017-10-26 12:57:43,2017-10-26 13:13:01,Card,1,2.53,12.5,2.7,0.0,15.3
Joshua Jimenez,2017-10-01 01:45:56,2017-10-01 02:07:26,Cash,3,5.48,20.0,5.32,0.0,21.5
Benjamin Hamilton,2017-12-13 07:46:36,2017-12-13 08:00:20,Card,1,1.78,10.5,2.26,0.0,13.733333333333333
Adrian Fernandez,2017-11-08 15:38:13,2017-11-08 16:10:52,Card,1,2.8,20.0,0.0,0.0,32.65
Larry Macdonald,2017-01-15 01:08:50,2017-01-15 01:14:44,Cash,1,1.2,6.5,1.95,0.0,5.9
James Patel,2017-05-17 20:22:35,2017-05-17 20:31:44,Card,1,0.83,7.0,1.66,0.0,9.15
Jennifer Blackburn,2017-04-21 00:20:54,2017-04-21 00:28:28,Cash,1,1.36,6.5,0.0,0.0,7.566666666666666
Alejandro Morris,2017-02-14 14:42:08,2017-02-14 14:47:57,Cash,1,0.6,5.5,0.0,0.0,5.816666666666666
James Lewis,2017-04-07 10:04:16,2017-04-07 10:13:47,Cash,2,0.9,7.5,0.0,0.0,9.516666666666667
Maria Johnson,2017-06-27 13:53:44,2017-06-27 14:09:02,Cash,1,0.6,10.0,3.24,0.0,15.3
David Brown,2017-04-15 12:49:03,2017-04-15 12:53:50,Card,2,0.7,5.0,0.0,0.0,4.783333333333333
Hayley Lopez,2017-07-03 14:54:47,2017-07-03 15:02:14,Card,1,1.9,8.0,0.0,0.0,7.45
Thomas Buckley,2017-03-12 17:08:46,2017-03-12 17:36:25,Card,3,6.4,24.5,0.0,0.0,27.65
Andrea Huff,2017-08-14 21:19:25,2017-08-14 21:25:59,Cash,1,0.9,6.0,1.46,0.0,6.566666666666666
Christopher Boyd,2017-04-12 10:50:49,2017-04-12 11:13:16,Cash,1,3.15,16.0,0.0,0.0,22.45
Michelle Benton,2017-02-05 12:08:00,2017-02-05 12:22:22,Card,2,2.8,12.0,2.56,0.0,14.366666666666667
Dr. Travis Becker,2017-05-11 12:36:05,2017-05-11 12:46:13,Cash,1,0.71,7.5,1.66,0.0,10.133333333333333
Jeffrey Williams,2017-04-20 21:07:03,2017-04-20 21:27:38,Cash,1,2.7,14.5,4.7,0.0,20.583333333333332
Larry Olsen,2017-07-03 19:38:21,2017-07-03 19:52:39,Cash,2,3.97,15.0,0.0,0.0,14.3
Elizabeth Horton,2017-01-07 12:31:30,2017-01-07 12:49:58,Cash,6,1.82,12.0,3.2,0.0,18.466666666666665
Gavin Flores,2017-08-11 02:12:21,2017-08-11 02:19:06,Cash,1,1.15,6.5,0.0,0.0,6.75
Ruben Miller,2017-02-05 17:54:36,2017-02-05 18:06:30,Card,3,1.56,9.5,1.5,0.0,11.9
Cesar White,2017-05-28 01:04:52,2017-05-28 01:11:04,Cash,1,1.2,6.5,0.0,0.0,6.2
Matthew Kramer,2017-01-13 07:23:56,2017-01-13 07:35:08,Card,1,3.92,13.5,1.0,0.0,11.2
Charles Cruz,2017-03-08 18:57:26,2017-03-08 19:02:58,Card,1,0.7,5.5,0.0,0.0,5.533333333333333
Chelsea Diaz,2017-10-13 00:52:42,2017-10-13 01:03:48,Cash,1,2.8,11.0,2.0,0.0,11.1
Richard Watkins,2017-08-23 19:05:26,2017-08-23 19:10:31,Cash,1,0.92,5.5,0.75,0.0,5.083333333333333
Jennifer Graham,2017-11-05 01:52:31,2017-11-06 01:04:34,Cash,1,2.04,10.0,2.26,0.0,1392.05
Tom Villarreal,2017-10-24 11:30:00,2017-10-24 11:43:09,Cash,2,1.72,10.0,2.16,0.0,13.15
James Horne,2017-02-04 02:31:56,2017-02-04 02:38:02,Cash,2,1.1,6.5,0.0,0.0,6.1
Tony King,2017-09-21 18:41:26,2017-09-21 18:55:57,Cash,2,0.99,6.0,0.0,0.0,14.516666666666667
Whitney Reynolds,2017-09-02 09:49:03,2017-09-02 10:02:32,Cash,2,4.29,15.0,2.5,0.0,13.483333333333333
Amy Bowman,2017-06-14 18:33:29,2017-06-14 18:45:07,Card,2,1.3,9.0,2.7,0.0,11.633333333333333
Courtney Owens,2017-06-13 10:40:12,2017-06-13 10:46:05,Cash,1,0.2,5.0,0.8,0.0,5.883333333333334
Susan Rice,2017-03-06 18:48:35,2017-03-06 18:53:55,Cash,1,0.5,5.0,1.36,0.0,5.333333333333333
Adam Edwards,2017-12-19 01:23:35,2017-12-19 01:26:52,Card,5,1.17,5.5,1.0,0.0,3.283333333333333
Megan Jenkins,2017-06-25 04:47:42,2017-06-25 05:21:50,Cash,1,7.9,27.5,0.0,0.0,34.13333333333333
Marcus Wright,2017-06-14 07:16:54,2017-06-14 07:22:52,Cash,1,1.1,6.0,2.0,0.0,5.966666666666667
Bridget Zavala,2017-10-18 20:39:12,2017-10-18 21:06:00,Card,1,4.14,18.0,3.86,0.0,26.8
Kenneth Patterson,2017-03-26 14:33:32,2017-03-26 15:11:34,Cash,5,5.39,26.5,0.0,0.0,38.03333333333333
Kristin Miller,2017-10-28 06:46:10,2017-10-28 06:52:45,Card,1,1.6,7.0,1.55,0.0,6.583333333333333
Richard Gay,2017-07-31 16:24:37,2017-07-31 16:26:50,Card,1,0.7,4.0,0.0,0.0,2.216666666666667
Deborah Lee,2017-02-06 14:58:16,2017-02-06 15:03:28,Card,1,0.7,5.5,3.0,0.0,5.2
Donald Smith,2017-12-12 18:00:15,2017-12-12 18:19:26,Cash,1,3.0,14.0,1.6,0.0,19.183333333333334
Christopher Bailey,2017-07-03 14:09:16,2017-07-03 14:12:48,Cash,1,0.4,4.5,1.05,0.0,3.533333333333333
Olivia Lopez,2017-01-12 02:41:40,2017-01-12 02:57:11,Card,1,4.5,16.5,0.0,0.0,15.516666666666667
Linda Green,2017-09-27 18:54:28,2017-09-27 19:02:04,Card,5,1.06,7.0,0.0,0.0,7.6
Katherine Schroeder,2017-01-12 17:24:54,2017-01-12 17:32:50,Card,1,1.13,7.0,1.5,0.0,7.933333333333334
Lisa Horne,2017-03-12 05:00:08,2017-03-12 05:11:46,Card,1,2.99,11.5,2.56,0.0,11.633333333333333
Marcus Good,2017-01-27 13:11:47,2017-01-27 13:23:46,Card,1,1.4,9.0,0.0,0.0,11.983333333333333
Megan Torres,2017-12-13 23:27:02,2017-12-13 23:38:32,Card,1,2.28,10.0,2.26,0.0,11.5
Leah Sanchez,2017-08-13 11:21:51,2017-08-13 11:33:47,Cash,1,0.81,8.5,1.0,0.0,11.933333333333334
April Hunter,2017-04-24 17:26:15,2017-04-24 17:28:33,Cash,1,0.35,3.5,1.06,0.0,2.3
Elizabeth Ramos,2017-11-24 13:38:58,2017-11-24 13:50:59,Card,5,1.91,10.0,0.0,0.0,12.016666666666667
Robert Bryant,2017-10-24 05:51:57,2017-10-24 06:17:58,Cash,6,17.69,48.0,9.86,0.0,26.016666666666666
Anna Lee,2017-02-18 02:12:07,2017-02-18 02:26:01,Cash,2,3.5,13.5,2.95,0.0,13.9
Linda Frank,2017-05-11 07:53:25,2017-05-11 07:56:43,Card,1,0.6,4.5,1.05,0.0,3.3
Julie Nguyen,2017-05-06 20:30:39,2017-05-06 21:31:16,Cash,3,18.57,52.0,14.64,5.76,60.61666666666667
David Powell,2017-03-11 11:11:34,2017-03-11 11:17:42,Cash,1,0.41,5.5,1.58,0.0,6.133333333333334
Russell Roberts,2017-07-24 18:12:52,2017-07-24 18:22:39,Cash,1,1.4,8.5,1.85,0.0,9.783333333333333
Jasmine Lucas,2017-10-10 22:05:22,2017-10-10 22:34:27,Cash,2,6.44,22.5,0.0,0.0,29.083333333333332
Ashley Ibarra,2017-05-16 18:42:09,2017-05-16 19:31:57,Cash,1,15.11,52.0,11.46,0.0,49.8
Alexander Owen,2017-05-21 11:07:28,2017-05-21 11:11:54,Cash,1,0.9,5.5,1.55,0.0,4.433333333333334
Mariah Bentley,2017-02-08 19:10:25,2017-02-08 19:43:19,Card,1,6.5,24.0,5.15,0.0,32.9
Eric Reed,2017-06-05 12:09:55,2017-06-05 12:13:20,Card,1,0.7,4.5,1.05,0.0,3.4166666666666665
James Saunders,2017-08-02 07:46:30,2017-08-02 07:52:57,Cash,6,1.48,7.0,1.56,0.0,6.45
Edward Brown,2017-10-18 09:21:30,2017-10-18 09:29:42,Card,1,1.0,7.0,1.0,0.0,8.2
Kayla Travis,2017-04-14 12:38:17,2017-04-14 12:46:17,Card,1,1.2,7.0,1.2,0.0,8.0
Timothy Vasquez,2017-04-28 19:34:07,2017-04-28 19:59:35,Cash,1,5.84,21.0,0.0,0.0,25.466666666666665
Taylor Lowe,2017-11-10 09:18:57,2017-11-10 09:35:10,Cash,1,2.87,13.0,0.0,0.0,16.216666666666665
Dale Maxwell,2017-09-01 10:54:16,2017-09-01 11:19:20,Card,1,3.65,17.0,3.56,0.0,25.066666666666666
Kristen Craig,2017-03-04 23:23:59,2017-03-04 23:31:24,Card,2,0.89,6.5,0.2,0.0,7.416666666666667
Dominique Duran,2017-03-31 22:55:58,2017-03-31 23:06:56,Card,1,1.0,8.5,0.0,0.0,10.966666666666667
Ashley Perry,2017-05-27 16:47:33,2017-05-27 16:50:39,Cash,1,0.5,4.5,0.0,0.0,3.1
Sean Frye,2017-08-25 14:51:14,2017-08-25 15:15:02,Card,1,1.5,14.5,1.0,0.0,23.8
Gary Price,2017-09-15 16:00:30,2017-09-15 16:13:41,Card,1,1.7,10.0,0.0,0.0,13.183333333333334
Angelica Robinson,2017-02-08 18:56:21,2017-02-08 19:20:43,Card,1,3.1,16.5,2.5,0.0,24.366666666666667
James Brown,2017-09-25 13:53:31,2017-09-25 14:50:33,Card,1,18.17,52.0,0.0,5.76,57.03333333333333
Richard Roman,2017-12-02 15:07:23,2017-12-02 15:11:17,Cash,1,0.74,5.0,0.0,0.0,3.9
Leah Cook,2017-09-16 21:20:07,2017-09-16 21:43:58,Cash,1,1.64,15.0,2.0,0.0,23.85
Jeremiah Brown,2017-09-14 05:30:47,2017-09-14 05:36:39,Card,5,1.41,7.0,0.0,0.0,5.866666666666666
Erica Mcdowell,2017-10-02 14:59:45,2017-10-02 15:07:14,Cash,1,0.86,6.5,0.0,0.0,7.483333333333333
Veronica Maynard,2017-04-09 00:27:55,2017-04-09 00:43:03,Card,1,2.0,11.5,0.0,0.0,15.133333333333333
David Baker,2017-03-19 19:06:56,2017-03-19 19:22:14,Card,1,2.18,12.0,2.56,0.0,15.3
Billy Lucero,2017-04-21 17:05:13,2017-04-21 17:12:50,Card,1,0.8,6.5,1.65,0.0,7.616666666666666
Ann Chandler,2017-10-03 20:58:01,2017-10-03 21:28:45,Cash,1,10.87,35.0,7.26,0.0,30.733333333333334
David Smith,2017-06-02 00:04:55,2017-06-02 00:13:30,Cash,1,1.68,8.0,0.0,0.0,8.583333333333334
Monica Cooper,2017-05-23 20:43:25,2017-05-23 20:47:29,Card,1,1.1,5.5,1.35,0.0,4.066666666666666
Jaime Little,2017-12-30 23:03:21,2017-12-30 23:07:44,Card,2,0.7,5.0,0.0,0.0,4.383333333333334
Blake Riggs,2017-06-20 19:04:31,2017-06-20 19:09:51,Cash,1,0.5,5.5,0.0,0.0,5.333333333333333
David Shelton,2017-12-22 11:43:00,2017-12-22 11:49:53,Cash,1,1.07,6.0,1.36,0.0,6.883333333333334
Nicholas Roberts,2017-03-14 17:07:48,2017-03-14 17:57:19,Card,1,9.44,35.5,0.0,0.0,49.516666666666666
Tara Bailey,2017-03-23 08:27:15,2017-03-23 08:41:35,Cash,1,1.7,10.5,1.0,0.0,14.333333333333334
Todd Silva,2017-09-24 20:55:13,2017-09-24 21:05:24,Cash,1,1.8,8.5,1.95,0.0,10.183333333333334
Janice Carter,2017-05-20 08:18:34,2017-05-20 08:30:19,Card,1,1.9,10.5,2.25,0.0,11.75
Angela Browning,2017-09-29 07:50:19,2017-09-29 08:05:55,Card,1,4.41,15.0,0.0,0.0,15.6
Mr. Dean Smith,2017-09-07 07:59:33,2017-09-07 08:22:50,Cash,1,2.8,17.0,3.0,0.0,23.283333333333335
Brian Rogers,2017-05-18 18:30:31,2017-05-18 18:49:45,Card,1,2.3,14.0,1.2,0.0,19.233333333333334
Jonathan Campos,2017-10-18 19:54:25,2017-10-18 20:17:57,Card,2,1.5,14.5,1.0,0.0,23.533333333333335
Amber Edwards,2017-01-08 12:30:07,2017-01-09 00:00:00,Card,1,12.53,36.0,8.47,5.54,689.8833333333333
Jordan Brown,2017-03-10 23:38:19,2017-03-10 23:50:56,Cash,2,2.4,10.5,2.36,0.0,12.616666666666667
Kara Patel,2017-08-25 10:36:37,2017-08-25 10:59:16,Card,1,2.42,15.0,3.16,0.0,22.65
Mary Ramirez,2017-01-20 22:26:26,2017-01-20 22:39:17,Cash,1,2.67,11.0,2.0,0.0,12.85
Devin Rodriguez,2017-05-01 19:02:40,2017-05-01 19:14:31,Card,1,2.9,11.5,2.65,0.0,11.85
Karina Gutierrez,2017-05-25 23:16:21,2017-05-25 23:41:29,Card,6,3.53,18.0,0.0,0.0,25.133333333333333
Bobby Ramos,2017-05-14 06:59:55,2017-05-14 07:10:29,Card,1,2.52,10.5,2.26,0.0,10.566666666666666
Robert Flores,2017-08-09 22:00:58,2017-08-09 22:12:45,Card,6,2.96,12.0,2.66,0.0,11.783333333333333
Amy Bender,2017-08-21 14:49:38,2017-08-21 14:57:52,Card,6,1.25,7.5,0.0,0.0,8.233333333333333
Mark Beasley,2017-02-01 18:14:42,2017-02-01 18:25:08,Card,1,0.8,7.5,1.85,0.0,10.433333333333334
Vicki Thomas,2017-05-13 23:21:02,2017-05-13 23:42:12,Cash,1,4.7,18.0,2.9,0.0,21.166666666666668
Caitlin Cox,2017-07-28 10:39:50,2017-07-28 11:11:40,Card,1,5.38,24.0,6.2,0.0,31.833333333333332
Tammy Hawkins,2017-12-17 10:23:23,2017-12-17 10:25:10,Card,1,0.4,3.5,0.85,0.0,1.7833333333333334
Jennifer Hammond,2017-07-12 09:29:05,2017-07-12 09:52:59,Card,1,3.2,17.0,3.55,0.0,23.9
Kimberly Foster,2017-03-11 22:03:41,2017-03-11 22:19:25,Card,1,3.33,13.5,2.96,0.0,15.733333333333333
Anthony Sellers,2017-03-30 11:58:07,2017-03-30 12:13:36,Cash,1,1.2,10.5,2.25,0.0,15.483333333333333
Max Ball,2017-08-02 02:09:35,2017-08-02 02:11:32,Card,1,0.3,3.5,1.2,0.0,1.95
Whitney Macdonald,2017-12-27 16:30:11,2017-12-27 16:34:35,Card,1,0.5,5.0,1.35,0.0,4.4
Michelle Williams,2017-01-14 21:10:55,2017-01-14 21:25:41,Cash,1,1.9,11.0,1.5,0.0,14.766666666666667
Dr. Linda Riley,2017-04-02 07:36:17,2017-04-02 07:41:17,Card,1,0.95,5.5,1.58,0.0,5.0
Julia Peters,2017-10-07 16:17:28,2017-10-07 16:28:57,Card,2,1.31,9.0,0.0,0.0,11.483333333333333
Paul Rodriguez,2017-05-03 10:34:13,2017-05-03 10:49:56,Cash,1,1.7,11.5,2.46,0.0,15.716666666666667
Donald White,2017-04-16 19:36:03,2017-04-16 19:53:33,Card,2,2.14,12.5,2.66,0.0,17.5
Logan Richardson,2017-02-05 16:21:29,2017-02-05 16:40:17,Cash,1,5.11,18.5,3.86,0.0,18.8
Dakota Ferguson,2017-11-02 11:10:24,2017-11-02 11:34:14,Cash,1,1.79,15.0,1.2,0.0,23.833333333333332
Shannon Flores,2017-06-13 23:01:33,2017-06-13 23:24:45,Cash,5,5.67,20.5,4.36,0.0,23.2
Stephen Campbell,2017-05-30 17:54:51,2017-05-30 18:04:07,Cash,1,1.16,7.5,1.86,0.0,9.266666666666667
Mike Hammond,2017-05-20 17:01:45,2017-05-20 17:31:50,Cash,2,4.5,21.0,0.0,0.0,30.083333333333332
Brian Shepherd,2017-06-04 16:15:11,2017-06-04 16:17:38,Card,1,0.53,4.0,2.2,0.0,2.45
Thomas Ayala,2017-06-30 10:24:35,2017-06-30 10:52:09,Cash,1,2.0,17.0,0.0,0.0,27.566666666666666
Alexander Phillips,2017-01-19 06:03:42,2017-01-19 06:10:34,Card,1,0.7,6.0,0.0,0.0,6.866666666666666
Katherine Booth,2017-07-04 21:47:15,2017-07-04 21:50:54,Cash,1,0.7,5.0,1.0,0.0,3.65
Michael Bolton,2017-06-01 14:08:42,2017-06-01 14:15:36,Card,2,1.1,6.5,0.0,0.0,6.9
Shawn Ray,2017-06-03 20:16:08,2017-06-03 20:18:56,Card,2,0.59,4.0,1.06,0.0,2.8
Rebecca Wang,2017-12-12 19:39:36,2017-12-12 19:44:50,Card,1,1.2,6.0,1.55,0.0,5.233333333333333
Mrs. Ashley Jennings MD,2017-04-13 22:15:41,2017-04-13 22:43:34,Cash,1,7.4,27.0,3.5,0.0,27.883333333333333
Krista Wilson,2017-06-08 15:17:15,2017-06-08 15:23:39,Cash,1,0.7,6.0,0.0,0.0,6.4
Kimberly Taylor,2017-01-13 15:40:09,2017-01-13 16:00:00,Card,1,3.02,15.0,2.84,0.0,19.85
Daniel Thomas,2017-08-03 01:21:29,2017-08-03 01:49:17,Card,1,6.35,23.5,2.0,0.0,27.8
Cynthia Ware,2017-03-10 09:34:49,2017-03-10 09:55:55,Cash,1,1.6,13.5,2.85,0.0,21.1
Anthony Pearson,2017-06-15 21:22:52,2017-06-15 21:37:03,Card,1,2.6,11.5,1.0,0.0,14.183333333333334
